country,covid19_first_date,Population_2020,Density_KM2m,Urban_pop_pct,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_total,first_school_closure_date,airport_traffic_2018_thousands,gdp_usd_million
Iceland,2020-02-28 22:00:00,341243.0,3,94%,65.92,3.06,9.1,20.1,65.5,14.4,1.01,2020-03-16 00:00:00,7819741.0,23918.0
India,2020-01-30 21:30:00,1380004385.0,464,35%,67.13,,5.2,27.8,66.2,6.0,1.08,2020-03-04 00:00:00,164000000.0,2935570.0
Indonesia,2020-03-02 22:00:00,273523615.0,151,56%,60.48,,,27.4,67.3,5.3,1,2020-03-16 00:00:00,115000000.0,1111713.0
Iran,2020-02-19 22:00:00,83992949.0,52,76%,51.7,,,23.7,70.9,5.4,1.03,,,458500.0
Iraq,2020-02-23 22:00:00,40222493.0,93,73%,41.36,,,40.4,56.4,3.2,1.02,2020-02-28 00:00:00,2075066.0,224462.0
Ireland,2020-02-29 22:00:00,4937786.0,72,63%,51.89,2.96,6.5,21.6,64.4,13.9,1,2020-03-12 00:00:00,168000000.0,384940.0
Israel,2020-02-21 22:00:00,8655535.0,400,93%,73.29,3.02,,27.9,60.4,11.7,1.01,2020-03-12 00:00:00,7404373.0,387717.0
Italy,2020-01-30 21:30:00,60461826.0,206,69%,66.59,3.18,12.5,13.5,63.5,23.0,0.93,2020-02-24 00:00:00,27630436.0,1988636.0
Jamaica,2020-03-11 22:00:00,2961167.0,273,55%,,,,22.7,67.6,9.7,0.98,2020-03-13 00:00:00,180951.3,15702.0
Japan,2020-01-22 12:00:00,126476461.0,347,92%,81.14,13.05,7.3,12.9,60.1,27.0,0.94,2020-03-02 00:00:00,126000000.0,5154475.0
Jordan,2020-03-03 22:00:00,10203134.0,115,91%,64.6,,,35.5,60.7,3.8,1.02,2020-03-15 00:00:00,3383805.0,44172.0
Kazakhstan,2020-03-13 22:00:00,18776707.0,7,58%,50.7,,,27.9,65.1,7.0,0.92,2020-03-16 00:00:00,7143797.0,170326.0
Kenya,2020-03-13 22:00:00,53771296.0,94,28%,55.59,,,40.5,56.8,2.7,1,2020-03-16 00:00:00,5935831.0,98607.0
South Korea,2020-01-22 12:00:00,51269185.0,527,82%,81.97,12.27,10.6,13.5,72.6,13.9,1,,,1629532.0
Kuwait,2020-02-24 22:00:00,4270571.0,240,N.A.,56.21,,,21.1,76.6,2.3,1.41,2020-03-01 00:00:00,6464847.0,137591.0
Kyrgyzstan,2020-03-18 22:00:00,6524195.0,34,36%,,,,31.8,63.7,4.5,0.96,2020-03-16 00:00:00,,8261.0
Laos,2020-03-24 22:00:00,7275560.0,32,36%,,,,32.9,63.1,4.0,0.99,2020-03-19 00:00:00,1251962.0,19127.0
Latvia,2020-03-02 22:00:00,1886198.0,30,69%,62.91,5.57,9.7,15.4,64.8,19.8,0.86,2020-03-13 00:00:00,4058762.0,35045.0
Lebanon,2020-02-21 22:00:00,6825445.0,667,78%,64.38,,,23.1,68.4,8.5,1,2020-03-02 00:00:00,2981937.0,58565.0
Liberia,2020-03-16 22:00:00,5057681.0,53,53%,,,,41.8,55.1,3.1,0.99,2020-03-16 00:00:00,,3221.0
Libya,2020-03-24 22:00:00,6871292.0,4,78%,,,,28.2,67.4,4.4,1.07,2020-03-16 00:00:00,927153.9,33018.0
Liechtenstein,2020-03-04 22:00:00,38128.0,238,15%,,,,,,,0.99,2020-03-16 00:00:00,,
Lithuania,2020-02-28 22:00:00,2722289.0,43,71%,69.49,6.56,15.5,14.8,66.2,19.0,0.86,2020-03-16 00:00:00,26031.0,53641.0
Luxembourg,2020-02-29 22:00:00,625978.0,242,88%,,4.66,24.8,16.5,69.2,14.3,1.01,2020-03-16 00:00:00,2099102.0,69453.0
Madagascar,2020-03-20 22:00:00,27691018.0,48,39%,,,,41.0,56.1,2.9,1,2020-03-21 00:00:00,541290.0,12550.0
Malaysia,2020-01-23 12:00:00,32365999.0,99,78%,68.1,,,24.3,69.4,6.3,1.03,2020-03-18 00:00:00,60481772.0,365303.0
Maldives,2020-03-08 22:00:00,540544.0,"1,802",35%,,,,23.4,72.5,4.1,1.23,2020-03-12 00:00:00,1147247.0,5786.0
Mali,2020-03-25 22:00:00,20250833.0,17,44%,,,,47.7,49.8,2.5,0.95,2020-03-19 00:00:00,,17647.0
Malta,2020-03-07 22:00:00,441543.0,"1,380",93%,68.81,,,14.4,66.1,19.4,0.99,2020-03-13 00:00:00,2576898.0,14859.0
Mauritania,2020-03-14 22:00:00,4649658.0,5,57%,,,,39.9,56.9,3.1,0.93,2020-03-16 00:00:00,454435.7,5651.0
Mauritius,2020-03-18 22:00:00,1271768.0,626,41%,,,,18.4,70.7,10.9,0.97,2020-03-19 00:00:00,1745291.0,14391.0
Mexico,2020-01-23 12:00:00,128932753.0,66,84%,70.12,1.38,1.2,26.7,66.5,6.9,0.96,2020-03-23 00:00:00,64569640.0,1274175.0
Moldova,2020-03-08 22:00:00,4033963.0,123,43%,,,,15.7,73.4,10.9,0.95,,1135999.0,11688.0
Monaco,2020-02-29 22:00:00,39242.0,"26,337",N.A.,,,,,,,0.95,2020-03-16 00:00:00,316.0,
Mongolia,2020-03-10 22:00:00,3278290.0,2,67%,,,,29.7,66.3,4.0,0.96,2020-02-19 00:00:00,670360.0,13637.0
Montenegro,2020-03-17 22:00:00,628066.0,47,68%,,,,18.1,67.1,14.8,0.99,2020-03-16 00:00:00,565522.0,5424.0
Morocco,2020-03-02 22:00:00,36910560.0,83,64%,45.72,,,27.4,65.8,6.8,0.97,2020-03-16 00:00:00,8132917.0,119040.0
Mozambique,2020-03-22 22:00:00,31255435.0,40,38%,,,,44.8,52.1,3.2,0.96,2020-03-23 00:00:00,540124.0,15093.0
Namibia,2020-03-14 22:00:00,2540905.0,3,55%,,,,36.7,59.8,3.6,0.96,2020-03-16 00:00:00,602893.0,14368.0
Nepal,2020-01-25 22:00:00,29136808.0,203,21%,56.88,,,30.9,63.3,5.8,0.95,2020-03-18 00:00:00,3296953.0,29813.0
Netherlands,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0
New Zealand,2020-02-28 22:00:00,4822233.0,18,87%,73.81,2.71,,19.8,64.9,15.3,0.99,2020-03-24 00:00:00,17249050.0,204671.0
Nicaragua,2020-03-19 22:00:00,6624554.0,55,57%,,,,29.0,65.5,5.4,0.95,,,12528.0
Niger,2020-03-20 22:00:00,24206644.0,19,17%,,,,50.2,47.2,2.6,1.01,2020-03-21 00:00:00,,9443.0
